,Exactitud (Accuracy),Precisión (Precision),Sensibilidad (Recall),F1 Score,Especificidad (avg)
ResNet18 Base,0.9557142857142857,0.9572773654916511,0.9557142857142858,0.9552761263995231,0.9993581780538303
ResNet18 Fine-Tuned,0.9614285714285714,0.9666810966810967,0.9614285714285714,0.9613557828971362,0.9994409937888199
CNN,0.11285714285714285,0.07251173041737674,0.11285714285714285,0.06971827597849863,0.9871428571428572
